,zipcode
0,98058
1,98115
2,98006
3,98034
4,98052
5,98031
6,98007
7,98199
8,98027
9,98119
10,98122
11,98155
12,98055
13,98118
14,98014
15,98059
16,98004
17,98053
18,98034
19,98072
20,98133
21,98092
22,98074
23,98125
24,98122
25,98074
26,98045
27,98106
28,98022
29,98119
30,98022
31,98177
32,98008
33,98002
34,98034
35,98040
36,98029
37,98042
38,98034
39,98004
40,98072
41,98133
42,98001
43,98065
44,98065
45,98056
46,98034
47,98122
48,98034
49,98115
50,98144
51,98199
52,98188
53,98199
54,98109
55,98053
56,98010
57,98075
58,98034
59,98074
60,98198
61,98106
62,98198
63,98177
64,98115
65,98002
66,98030
67,98198
68,98105
69,98052
70,98023
71,98028
72,98112
73,98004
74,98072
75,98059
76,98115
77,98038
78,98122
79,98074
80,98116
81,98034
82,98118
83,98023
84,98109
85,98056
86,98177
87,98112
88,98122
89,98103
90,98023
91,98058
92,98006
93,98112
94,98115
95,98103
96,98001
97,98178
98,98075
99,98056
100,98010
101,98004
102,98092
103,98118
104,98006
105,98168
106,98122
107,98052
108,98053
109,98144
110,98022
111,98056
112,98119
113,98052
114,98199
115,98155
116,98188
117,98144
118,98058
119,98116
120,98103
121,98115
122,98005
123,98058
124,98058
125,98077
126,98146
127,98105
128,98022
129,98155
130,98103
131,98144
132,98023
133,98014
134,98118
135,98034
136,98028
137,98042
138,98199
139,98056
140,98125
141,98074
142,98058
143,98011
144,98058
145,98126
146,98058
147,98108
148,98022
149,98125
150,98075
151,98008
152,98007
153,98112
154,98177
155,98034
156,98136
157,98092
158,98027
159,98133
160,98052
161,98034
162,98031
163,98027
164,98125
165,98125
166,98055
167,98106
168,98126
169,98042
170,98122
171,98155
172,98042
173,98033
174,98133
175,98010
176,98045
177,98133
178,98003
179,98008
180,98034
181,98103
182,98006
183,98199
184,98033
185,98023
186,98198
187,98126
188,98122
189,98199
190,98092
191,98118
192,98074
193,98103
194,98106
195,98117
196,98126
197,98006
198,98107
199,98019
200,98116
201,98031
202,98052
203,98034
204,98074
205,98118
206,98027
207,98146
208,98052
209,98188
210,98056
211,98001
212,98034
213,98065
214,98022
215,98122
216,98119
217,98022
218,98022
219,98065
220,98112
221,98117
222,98004
223,98055
224,98007
225,98126
226,98075
227,98040
228,98115
229,98031
230,98038
231,98003
232,98112
233,98023
234,98133
235,98109
236,98002
237,98106
238,98144
239,98118
240,98029
241,98102
242,98052
243,98155
244,98178
245,98077
246,98058
247,98105
248,98112
249,98059
250,98115
251,98119
252,98042
253,98108
254,98045
255,98058
256,98106
257,98038
258,98004
259,98092
260,98105
261,98030
262,98119
263,98074
264,98052
265,98065
266,98045
267,98056
268,98030
269,98074
270,98103
271,98122
272,98133
273,98005
274,98034
275,98014
276,98032
277,98188
278,98116
279,98045
280,98055
281,98103
282,98038
283,98029
284,98056
285,98040
286,98058
287,98118
288,98155
289,98116
290,98118
291,98133
292,98023
293,98032
294,98052
295,98072
296,98103
297,98198
298,98028
299,98116
300,98075
301,98008
302,98117
303,98117
304,98106
305,98118
306,98045
307,98133
308,98042
309,98125
310,98148
311,98004
312,98052
313,98040
314,98007
315,98092
316,98119
317,98198
318,98117
319,98011
320,98058
321,98115
322,98106
323,98106
324,98126
325,98030
326,98115
327,98112
328,98166
329,98168
330,98059
331,98118
332,98003
333,98056
334,98006
335,98166
336,98006
337,98031
338,98155
339,98045
340,98006
341,98116
342,98033
343,98125
344,98008
345,98006
346,98116
347,98106
348,98052
349,98119
350,98166
351,98126
352,98136
353,98109
354,98042
355,98070
356,98103
357,98074
358,98045
359,98004
360,98056
361,98033
362,98002
363,98144
364,98029
365,98118
366,98115
367,98126
368,98077
369,98155
370,98117
371,98010
372,98011
373,98008
374,98144
375,98155
376,98031
377,98040
378,98030
379,98122
380,98019
381,98136
382,98199
383,98177
384,98029
385,98092
386,98125
387,98074
388,98006
389,98107
390,98006
391,98055
392,98052
393,98199
394,98058
395,98155
396,98038
397,98024
398,98006
399,98133
400,98058
401,98065
402,98007
403,98038
404,98006
405,98136
406,98065
407,98115
408,98118
409,98038
410,98074
411,98126
412,98052
413,98117
414,98106
415,98133
416,98027
417,98053
418,98177
419,98059
420,98155
421,98070
422,98198
423,98034
424,98074
425,98014
426,98133
427,98115
428,98103
429,98003
430,98177
431,98038
432,98112
433,98125
434,98115
435,98028
436,98072
437,98005
438,98199
439,98166
440,98075
441,98133
442,98008
443,98003
444,98106
445,98056
446,98038
447,98004
448,98106
449,98177
450,98103
451,98002
452,98103
453,98059
454,98055
455,98105
456,98106
457,98029
458,98058
459,98106
460,98038
461,98059
462,98103
463,98077
464,98040
465,98029
466,98072
467,98115
468,98075
469,98006
470,98052
471,98116
472,98038
473,98005
474,98107
475,98103
476,98058
477,98103
478,98133
479,98023
480,98023
481,98003
482,98011
483,98031
484,98122
485,98155
486,98119
487,98030
488,98199
489,98106
490,98146
491,98004
492,98117
493,98056
494,98034
495,98022
496,98072
497,98059
498,98115
499,98155
500,98042
501,98058
502,98115
503,98125
504,98038
505,98052
506,98074
507,98077
508,98008
509,98116
510,98072
511,98053
512,98103
513,98052
514,98055
515,98122
516,98178
517,98022
518,98118
519,98133
520,98031
521,98033
522,98040
523,98042
524,98006
525,98042
526,98052
527,98042
528,98053
529,98052
530,98040
531,98144
532,98077
533,98116
534,98001
535,98133
536,98058
537,98074
538,98107
539,98053
540,98059
541,98030
542,98112
543,98178
544,98155
545,98038
546,98148
547,98004
548,98005
549,98065
550,98122
551,98144
552,98056
553,98199
554,98038
555,98122
556,98198
557,98022
558,98030
559,98074
560,98136
561,98042
562,98074
563,98027
564,98001
565,98004
566,98003
567,98005
568,98198
569,98034
570,98117
571,98023
572,98053
573,98023
574,98118
575,98155
576,98045
577,98103
578,98002
579,98122
580,98056
581,98126
582,98056
583,98042
584,98108
585,98003
586,98168
587,98058
588,98168
589,98065
590,98065
591,98007
592,98168
593,98198
594,98014
595,98072
596,98033
597,98074
598,98119
599,98011
600,98155
601,98125
602,98039
603,98001
604,98177
605,98178
606,98027
607,98056
608,98155
609,98115
610,98118
611,98042
612,98029
613,98155
614,98122
615,98106
616,98056
617,98125
618,98115
619,98034
620,98144
621,98077
622,98166
623,98117
624,98005
625,98033
626,98178
627,98006
628,98144
629,98074
630,98058
631,98003
632,98023
633,98040
634,98146
635,98108
636,98056
637,98065
638,98001
639,98146
640,98027
641,98074
642,98004
643,98125
644,98116
645,98006
646,98133
647,98008
648,98108
649,98001
650,98109
651,98065
652,98055
653,98125
654,98033
655,98022
656,98005
657,98053
658,98007
659,98118
660,98002
661,98148
662,98059
663,98109
664,98092
665,98059
666,98092
667,98178
668,98053
669,98045
670,98033
671,98075
672,98053
673,98074
674,98052
675,98033
676,98007
677,98072
678,98125
679,98103
680,98133
681,98006
682,98006
683,98166
684,98122
685,98103
686,98118
687,98115
688,98008
689,98198
690,98055
691,98146
692,98038
693,98126
694,98108
695,98038
696,98027
697,98028
698,98010
699,98040
700,98125
701,98019
702,98042
703,98042
704,98199
705,98038
706,98027
707,98005
708,98075
709,98038
710,98027
711,98199
712,98108
713,98144
714,98008
715,98001
716,98055
717,98038
718,98022
719,98008
720,98126
721,98102
722,98059
723,98008
724,98103
725,98103
726,98019
727,98199
728,98059
729,98072
730,98042
731,98053
732,98144
733,98074
734,98136
735,98031
736,98166
737,98011
738,98075
739,98168
740,98133
741,98034
742,98133
743,98105
744,98092
745,98146
746,98001
747,98075
748,98030
749,98136
750,98004
751,98007
752,98042
753,98007
754,98118
755,98117
756,98014
757,98136
758,98042
759,98008
760,98148
761,98072
762,98006
763,98133
764,98022
765,98116
766,98107
767,98122
768,98004
769,98146
770,98168
771,98116
772,98103
773,98092
774,98188
775,98055
776,98065
777,98136
778,98092
779,98122
780,98034
781,98133
782,98117
783,98038
784,98034
785,98198
786,98002
787,98108
788,98106
789,98034
790,98058
791,98118
792,98023
793,98008
794,98033
795,98029
796,98155
797,98004
798,98133
799,98115
800,98053
801,98006
802,98092
803,98126
804,98059
805,98166
806,98019
807,98112
808,98058
809,98117
810,98075
811,98092
812,98136
813,98178
